trade_id,symbol,order_side,state,placed_candle,placed_datetime,entry_price,entry_executed_price,size,tp,sl,open_candle,open_datetime,close_candle,close_datetime,exit_price,pnl,rsi_at_break,time_to_fill,relative_volume,highest_excursion_from_breakout,atr_rel_excursion,atr_breakout_wick,atr_sl_dist,atr_tp_dist
126bf04a-da53-43d7-8f9c-a3b57a371fd3,XAUUSD,SELL,TP_HIT,46,2015-12-27 22:00:00,1071.68999,1071.68999,2320,1063.0699500000003,1076.02001,47,2015-12-28 22:00:00,48,2015-12-29 22:00:00,1063.0699500000003,19998.492799999512,47.978437059500685,2,0.2837315268089252,5.229990000000043,0.446407950213502,0.1549502741364447,0.36071923979371245,0.7181062156275042
7358c125-7b3e-451d-abe9-fdcb341cc374,XAUUSD,SELL,SL_HIT,48,2015-12-29 22:00:00,1068.21999,1068.21999,12347,1066.5999500000003,1069.05001,51,2016-01-03 22:00:00,52,2016-01-04 22:00:00,1073.1,-60253.48346999823,44.06303968061165,4,0.3462727181106594,8.819989999999962,0.7711373233274899,0.20929119262472318,0.07033031404953886,0.13727129704442917
3cee40ad-5cfb-46e0-a821-bdeae8140f34,XAUUSD,SELL,SL_HIT,60,2016-01-13 22:00:00,1086.48999,1086.48999,1180,1069.54995,1094.98001,61,2016-01-14 22:00:00,65,2016-01-19 22:00:00,1094.98001,-10018.22359999995,47.87258726706422,2,1.3827790253369203,15.029989999999998,1.0469666356216747,0.3968296267655854,0.6136778629931391,1.2244644354451837
34ce187c-03c4-4976-954f-57eb09301043,XAUUSD,BUY,TP_HIT,75,2016-01-31 22:00:00,1124.79001,1124.7900100000002,947,1145.8900499999997,1114.21999,76,2016-02-01 22:00:00,78,2016-02-03 22:00:00,1145.8900499999997,19981.737879999604,66.63012528838529,2,1.323284608924606,20.78998999999999,0.43375734566774343,0.1272493617485552,0.890747217661892,1.778123591303958
4dcbaf6d-6a34-4f18-b5f2-db16b28117de,XAUUSD,BUY,TP_HIT,83,2016-02-09 22:00:00,1191.08001,1191.08001,5179,1194.9400499999995,1189.1299900000001,88,2016-02-15 22:00:00,89,2016-02-16 22:00:00,1202.63,59817.398210001076,79.05295940434434,6,1.4707562193179906,72.4099900000001,3.7683174515137683,0.0032897543720893335,0.12830173641333423,0.253971669328997
711d5119-2d0d-441b-8295-2b652600444f,XAUUSD,BUY,SL_HIT,96,2016-02-24 22:00:00,1230.39001,1230.39001,1689,1242.2300500000001,1224.44999,97,2016-02-25 22:00:00,98,2016-02-27 22:00:00,1222.34,-13596.466890000265,65.91643884920865,2,1.4274489685000307,12.439989999999852,0.5897435842600384,0.44446604835703285,0.289806500171435,0.5776614479900418
fd83a025-6267-4ab4-8a83-8e40c2b88215,XAUUSD,BUY,TP_HIT,99,2016-02-28 22:00:00,1233.6000099999999,1233.6000099999999,821,1257.9600499999995,1221.3999900000001,100,2016-02-29 22:00:00,102,2016-03-02 22:00:00,1257.9600499999995,19999.59283999965,65.51168118982318,2,1.2387486486665868,14.989990000000034,0.4097172158026603,0.07607394580589535,0.6026647144875608,1.2033534823308143
a4a67baf-4f52-4e03-a30d-ed796798b429,XAUUSD,BUY,TP_HIT,101,2016-03-01 22:00:00,1240.39001,1240.39001,1219,1256.79005,1232.16999,102,2016-03-02 22:00:00,103,2016-03-03 22:00:00,1260.01,23916.7678099999,64.19573345596538,2,1.028520827403509,27.979989999999816,0.1774176584445037,0.15399046338706,0.4057066310419684,0.809439025373848
ec05ef4d-7d0b-4e5b-965d-0bcbba2e0138,XAUUSD,BUY,TP_HIT,104,2016-03-05 22:00:00,1260.01001,1260.01001,25655,1260.79005,1259.59999,105,2016-03-06 22:00:00,106,2016-03-07 22:00:00,1267.87,201648.04344999808,69.19023068431497,2,0.030470795923108654,13.19999000000007,0.19914891538418766,0.010718238849168877,0.019975874058800063,0.038002977417753256
02b74488-cd85-4810-9f11-c2fc2e10bbb5,XAUUSD,BUY,SL_HIT,108,2016-03-09 22:00:00,1267.8700099999999,1267.8700099999999,706,1296.2700499999994,1253.6499900000001,109,2016-03-10 22:00:00,110,2016-03-12 22:00:00,1250.62,-12178.507059999982,67.3401843982524,2,1.3152904157734453,16.119990000000143,0.2477070942136996,0.10758632507978877,0.6651650845047609,1.3284591024863968
